ID,Name,Height,Weight,Age,Sex,Profession
3076,Марков Спартак,191.0,90.0,30,м,сантехник
3077,Самсонов Борислав,168.0,92.0,65,м,продавец
3078,Архипов Емельян,185.0,103.0,30,м,инженер
3079,Селиверстов Кир,,66.0,37,м,преподаватель
3080,Евсеев Владимир,168.0,67.0,19,м,инженер
3081,Силин Лев,191.0,88.0,19,м,автослесарь
3082,Журавлёв Павел,183.0,100.0,18,м,преподаватель
3083,Ширяев Эльдар,186.0,,25,м,программист
3084,Щербаков Анастасий,177.0,105.0,74,м,автослесарь
3085,Самсонов Илья,185.0,119.0,60,м,преподаватель
3086,Меркушев Макар,,93.0,23,м,инженер
3087,Гаврилов Роман,169.0,106.0,34,м,преподаватель
3088,Шилов Пётр,182.0,104.0,88,м,преподаватель
3089,Максимов Виталий,166.0,113.0,70,м,продавец
3090,Тихонов Виссарион,186.0,65.0,74,м,автослесарь
3091,Агафонов Савелий,189.0,64.0,22,м,автослесарь
3092,Тимофеев Владислав,189.0,109.0,27,м,автослесарь
3093,Никитин Кондрат,184.0,105.0,39,м,программист
3094,Филиппов Леонид,176.0,76.0,59,м,преподаватель
3095,Никитин Савелий,189.0,85.0,68,м,продавец
3096,Беляев Евстахий,184.0,72.0,29,м,инженер
3097,Суворов Парамон,184.0,69.0,80,м,программист
3098,Галкин Марк,191.0,95.0,61,м,продавец
3099,Титов Мартын,167.0,113.0,46,м,врач
3100,Потапов Василий,193.0,78.0,58,м,автослесарь
3101,Орлов Григорий,190.0,77.0,33,м,бухгалтер
3102,Федосеев Савва,193.0,67.0,30,м,врач
3103,Рожков Кондрат,168.0,69.0,78,м,продавец
3104,Федосеев Иосиф,,86.0,53,м,преподаватель
3105,Пономарёв Юлиан,170.0,108.0,23,м,автослесарь
3106,Логинов Никола,188.0,62.0,75,м,врач
3107,Аксёнов Фома,168.0,84.0,21,м,программист
3108,Владимиров Влад,180.0,115.0,77,м,преподаватель
3109,Гурьев Борис,186.0,51.0,19,м,врач
3110,Шаров Степан,172.0,66.0,73,м,врач
3111,Баранов Никон,180.0,91.0,83,м,программист
3112,Бирюков Митрофан,168.0,63.0,53,м,бухгалтер
3113,Сидоров Савва,193.0,51.0,77,м,преподаватель
3114,Козлов Евгений,188.0,60.0,47,м,автослесарь
3115,Афанасьев Климент,189.0,104.0,55,м,продавец
3116,Яковлев Семен,181.0,77.0,19,м,сантехник
3117,Силин Спартак,187.0,51.0,56,м,сантехник
3118,Никифоров Герасим,193.0,113.0,31,м,студент
3119,Кононов Ринат,192.0,72.0,23,м,студент
3120,Савельев Владимир,,,19,м,сантехник
3121,Попов Илья,167.0,77.0,57,м,автослесарь
3122,Комаров Ярослав,178.0,69.0,78,м,преподаватель
3123,Денисов Владимир,179.0,82.0,72,м,преподаватель
3124,Воронцов Дмитрий,194.0,115.0,47,м,студент
3125,Ершов Даниил,177.0,55.0,18,м,автослесарь
3126,Ершов Мирослав,175.0,109.0,53,м,студент
3127,Харитонов Фёдор,,60.0,80,м,программист
3128,Тихонов Августин,181.0,67.0,89,м,инженер
3129,Суворов Вячеслав,172.0,116.0,85,м,продавец
3130,Рогов Радослав,182.0,64.0,72,м,сантехник
3131,Ларионов Вячеслав,177.0,74.0,42,м,продавец
3132,Попов Руслан,180.0,50.0,81,м,программист
3133,Сысоев Терентий,194.0,87.0,52,м,врач
3134,Рыбаков Филипп,173.0,106.0,46,м,преподаватель
3135,Филиппов Наум,190.0,66.0,83,м,программист
3136,Королёв Эдуард,182.0,105.0,69,м,программист
3137,Рогов Иван,189.0,85.0,63,м,преподаватель
3138,Дементьев Демид,171.0,106.0,35,м,врач
3139,Козлов Евгений,186.0,70.0,85,м,студент
3140,Буров Казимир,179.0,60.0,52,м,автослесарь
3141,Белов Лев,171.0,111.0,84,м,инженер
3142,Кондратьев Никола,194.0,95.0,68,м,сантехник
3143,Зуев Владлен,188.0,51.0,80,м,студент
3144,Титов Потап,167.0,100.0,86,м,преподаватель
3145,Комаров Архип,183.0,50.0,43,м,программист
3146,Казаков Харитон,183.0,112.0,73,м,сантехник
3147,Колесников Данислав,179.0,51.0,87,м,врач
3148,Воробьёв Богдан,173.0,63.0,31,м,сантехник
3149,Игнатов Вилен,193.0,105.0,43,м,продавец
3150,Власов Давыд,166.0,71.0,63,м,инженер
3151,Корнилов Кирилл,182.0,58.0,19,м,программист
3152,Некрасов Терентий,169.0,,54,м,инженер
3153,Капустин Болеслав,178.0,59.0,23,м,сантехник
3154,Дьячков Модест,170.0,62.0,71,м,врач
3155,Фролов Никанор,168.0,101.0,32,м,программист
3156,Мельников Парамон,165.0,87.0,39,м,преподаватель
3157,Зыков Иосиф,194.0,90.0,82,м,инженер
3158,Савин Антоний,179.0,110.0,35,м,врач
3159,Елисеев Матвей,190.0,52.0,79,м,бухгалтер
3160,Васильев Тимофей,174.0,103.0,59,м,преподаватель
3161,Фомичёв Серафим,168.0,109.0,36,м,программист
3162,Михеев Станислав,170.0,71.0,79,м,студент
3163,Емельянов Данислав,170.0,66.0,31,м,программист
3164,Мишин Моисей,182.0,107.0,58,м,бухгалтер
3165,Виноградов Владимир,,62.0,79,м,программист
3166,Калинин Викентий,180.0,117.0,53,м,автослесарь
3167,Пономарёв Вилен,,68.0,79,м,бухгалтер
3168,Наумов Казимир,187.0,63.0,35,м,студент
3169,Мясников Борис,194.0,92.0,54,м,бухгалтер
3170,Щербаков Емельян,193.0,108.0,73,м,студент
3171,Крылов Ярослав,168.0,89.0,55,м,врач
3172,Фёдоров Артур,187.0,108.0,84,м,инженер
3173,Колобов Пётр,194.0,55.0,51,м,инженер
3174,Туров Спартак,165.0,63.0,41,м,продавец
3175,Буров Вадим,180.0,87.0,20,м,студент
3176,Сафонов Гавриил,173.0,94.0,45,м,бухгалтер
3177,Морозов Святослав,175.0,63.0,46,м,врач
3178,Осипов Тимофей,175.0,89.0,30,м,инженер
3179,Белоусов Артём,187.0,102.0,78,м,продавец
3180,Елисеев Гавриил,186.0,75.0,73,м,врач
3181,Зыков Виссарион,171.0,103.0,60,м,программист
3182,Зиновьев Анатолий,188.0,115.0,23,м,автослесарь
3183,Русаков Арсентий,171.0,118.0,62,м,студент
3184,Константинов Ренат,179.0,56.0,31,м,преподаватель
3185,Бобылёв Михаил,177.0,60.0,77,м,продавец
3186,Субботин Тарас,171.0,102.0,71,м,студент
3187,Блинов Марк,186.0,103.0,83,м,преподаватель
3188,Владимиров Алексей,176.0,57.0,60,м,студент
3189,Третьяков Климент,173.0,70.0,23,м,программист
3190,Наумов Арсен,168.0,69.0,64,м,программист
3191,Носков Денис,186.0,100.0,71,м,сантехник
3192,Волков Тимур,169.0,81.0,43,м,инженер
3193,Константинов Герасим,,81.0,20,м,преподаватель
3194,Некрасов Владлен,174.0,112.0,72,м,студент
3195,Новиков Святослав,177.0,81.0,22,м,преподаватель
3196,Голубев Модест,181.0,66.0,58,м,продавец
3197,Макаров Макарий,173.0,93.0,75,м,студент
3198,Лукин Кирилл,181.0,87.0,19,м,программист
3199,Копылов Данил,192.0,50.0,48,м,преподаватель
3200,Новиков Радомир,191.0,107.0,65,м,программист
3201,Колесников Арсентий,193.0,90.0,48,м,сантехник
3202,Волков Валерий,192.0,96.0,76,м,бухгалтер
3203,Рыбаков Прохор,165.0,78.0,89,м,продавец
3204,Симонов Семен,187.0,87.0,27,м,программист
3205,Емельянов Аполлинарий,188.0,53.0,65,м,студент
3206,Исаков Наум,190.0,112.0,64,м,преподаватель
3207,Кузьмин Фаддей,172.0,88.0,30,м,сантехник
3208,Третьяков Антоний,193.0,,81,м,студент
3209,Денисов Радий,168.0,92.0,49,м,продавец
3210,Гаврилов Потап,168.0,119.0,42,м,продавец
3211,Ершов Агафон,190.0,67.0,25,м,бухгалтер
3212,Панов Никодим,187.0,111.0,48,м,врач
3213,Воронцов Илларион,170.0,99.0,35,м,автослесарь
3214,Дорофеев Терентий,190.0,62.0,42,м,преподаватель
3215,Зимин Тарас,166.0,81.0,20,м,бухгалтер
3216,Симонов Серафим,190.0,65.0,25,м,продавец
3217,Жуков Макарий,168.0,99.0,59,м,инженер
3218,Воробьёв Семен,187.0,52.0,74,м,программист
3219,Суханов Антон,174.0,108.0,38,м,инженер
3220,Виноградов Марат,177.0,95.0,28,м,бухгалтер
3221,Комиссаров Севастьян,170.0,118.0,39,м,сантехник
3222,Сергеев Глеб,175.0,85.0,39,м,автослесарь
3223,Коновалов Дамир,172.0,61.0,70,м,инженер
3224,Зиновьев Иосиф,170.0,89.0,38,м,инженер
3225,Сазонов Радослав,,50.0,89,м,сантехник
3226,Фролов Дмитрий,175.0,,62,м,автослесарь
3227,Авдеев Трофим,183.0,64.0,34,м,преподаватель
3228,Аксёнов Влас,169.0,107.0,37,м,продавец
3229,Орехов Булат,166.0,106.0,59,м,инженер
3230,Меркушев Иннокентий,170.0,51.0,70,м,инженер
3231,Алексеев Мирослав,168.0,69.0,50,м,врач
3232,Молчанов Николай,169.0,108.0,55,м,инженер
3233,Мартынов Юлий,179.0,93.0,53,м,бухгалтер
3234,Максимов Никифор,193.0,72.0,18,м,автослесарь
3235,Комаров Севастьян,168.0,67.0,63,м,преподаватель
3236,Рыбаков Филипп,174.0,,82,м,инженер
3237,Романов Степан,192.0,60.0,39,м,преподаватель
3238,Лукин Анастасий,188.0,111.0,79,м,продавец
3239,Исаков Леонтий,190.0,74.0,49,м,программист
3240,Блохин Влад,180.0,115.0,38,м,врач
3241,Лазарев Давид,188.0,76.0,34,м,врач
3242,Жуков Егорий,178.0,88.0,21,м,продавец
3243,Молчанов Семён,170.0,61.0,53,м,студент
3244,Максимов Радик,175.0,,65,м,программист
3245,Веселов Виссарион,176.0,86.0,31,м,студент
3246,Силин Вячеслав,178.0,73.0,76,м,программист
3247,Лазарев Михаил,174.0,79.0,62,м,продавец
3248,Николаев Прохор,191.0,113.0,37,м,преподаватель
3249,Соболев Семен,185.0,67.0,22,м,преподаватель
3250,Смирнов Игнат,182.0,,61,м,автослесарь
3251,Корнилов Герасим,171.0,68.0,43,м,автослесарь
3252,Шашков Глеб,191.0,67.0,56,м,программист
3253,Ситников Ренат,188.0,53.0,63,м,преподаватель
3254,Козлов Иероним,167.0,58.0,59,м,продавец
3255,Петров Клим,178.0,112.0,27,м,инженер
3256,Панфилов Никанор,169.0,52.0,73,м,автослесарь
3257,Ефимов Аполлон,185.0,53.0,23,м,автослесарь
3258,Абрамов Аркадий,172.0,105.0,49,м,студент
3259,Макаров Давыд,188.0,75.0,22,м,преподаватель
3260,Игнатьев Радомир,187.0,102.0,71,м,врач
3261,Пахомов Владислав,169.0,86.0,76,м,бухгалтер
3262,Белов Емельян,176.0,97.0,22,м,преподаватель
3263,Меркушев Наум,166.0,56.0,46,м,врач
3264,Панов Клим,180.0,58.0,45,м,преподаватель
3265,Суворов Еремей,175.0,95.0,76,м,программист
3266,Меркушев Филипп,180.0,71.0,40,м,бухгалтер
3267,Гурьев Тимофей,168.0,60.0,86,м,бухгалтер
3268,Афанасьев Руслан,,109.0,21,м,сантехник
3269,Ершов Арсен,179.0,67.0,22,м,продавец
3270,Чернов Федот,185.0,61.0,22,м,сантехник
3271,Беспалов Денис,,56.0,83,м,студент
3272,Молчанов Вилен,173.0,119.0,69,м,программист
3273,Брагин Вячеслав,167.0,112.0,58,м,студент
3274,Кудрявцев Анастасий,170.0,118.0,37,м,студент
3275,Рыбаков Ефим,173.0,92.0,88,м,студент
3276,Герасимов Ринат,193.0,113.0,44,м,врач
3277,Владимиров Бенедикт,167.0,57.0,53,м,продавец
3278,Анисимов Валентин,166.0,71.0,18,м,программист
3279,Тихонов Эрик,,83.0,43,м,преподаватель
3280,Казаков Эрик,186.0,92.0,80,м,студент
3281,Суворов Илларион,171.0,105.0,21,м,сантехник
3282,Одинцов Егорий,193.0,51.0,47,м,продавец
3283,Князев Кондрат,184.0,89.0,60,м,сантехник
3284,Потапов Кирилл,179.0,112.0,27,м,сантехник
3285,Дорофеев Евдоким,179.0,,53,м,преподаватель
3286,Семёнов Данила,185.0,60.0,34,м,врач
3287,Голубев Радик,173.0,90.0,30,м,студент
3288,Кошелев Леонид,181.0,90.0,22,м,студент
3289,Виноградов Данислав,174.0,114.0,24,м,инженер
3290,Шубин Фаддей,178.0,103.0,69,м,программист
3291,Якушев Викентий,169.0,103.0,78,м,продавец
3292,Белов Станислав,193.0,96.0,51,м,инженер
3293,Титов Анисий,179.0,109.0,21,м,продавец
3294,Субботин Чарли,184.0,,31,м,программист
3295,Попов Аристарх,174.0,80.0,57,м,автослесарь
3296,Силин Остап,166.0,82.0,85,м,продавец
3297,Щербаков Захар,179.0,79.0,30,м,бухгалтер
3298,Мухин Самсон,184.0,64.0,85,м,бухгалтер
3299,Доронин Евдоким,179.0,94.0,46,м,продавец
3300,Романов Станислав,,94.0,85,м,студент
3301,Игнатьев Филимон,191.0,59.0,36,м,программист
3302,Сысоев Пётр,191.0,105.0,24,м,бухгалтер
3303,Самойлов Августин,183.0,74.0,45,м,студент
3304,Капустин Аристарх,190.0,79.0,36,м,продавец
3305,Бобров Добрыня,189.0,67.0,41,м,инженер
3306,Крюков Семен,193.0,82.0,84,м,врач
3307,Костин Андрей,177.0,90.0,84,м,продавец
3308,Никитин Гордей,169.0,74.0,65,м,врач
3309,Кузнецов Игнатий,189.0,115.0,49,м,врач
3310,Андреев Борислав,186.0,53.0,64,м,автослесарь
3311,Чернов Иннокентий,186.0,92.0,52,м,врач
3312,Галкин Савва,180.0,90.0,74,м,студент
3313,Белозёров Кондрат,180.0,102.0,27,м,автослесарь
3314,Макаров Пётр,,54.0,70,м,студент
3315,Захаров Ринат,176.0,79.0,21,м,автослесарь
3316,Бобров Назар,188.0,105.0,64,м,продавец
3317,Алексеев Добрыня,191.0,78.0,43,м,инженер
3318,Дмитриев Мартын,194.0,52.0,39,м,автослесарь
3319,Якушев Филипп,182.0,70.0,51,м,бухгалтер
3320,Денисов Вениамин,175.0,88.0,88,м,продавец
3321,Лазарев Владимир,186.0,108.0,69,м,преподаватель
3322,Шестаков Кирилл,188.0,97.0,89,м,инженер
3323,Петухов Анисий,171.0,117.0,55,м,студент
3324,Богданов Гавриил,194.0,58.0,49,м,автослесарь
3325,Кириллов Касьян,182.0,107.0,89,м,продавец
3326,Аксёнов Лев,184.0,68.0,83,м,врач
3327,Мишин Валерий,175.0,51.0,38,м,врач
3328,Вишняков Наум,183.0,53.0,64,м,автослесарь
3329,Коновалов Фёдор,165.0,103.0,33,м,сантехник
3330,Котов Андрей,169.0,51.0,55,м,врач
3331,Кудрявцев Еремей,183.0,110.0,64,м,автослесарь
3332,Ефимов Потап,188.0,112.0,77,м,бухгалтер
3333,Дементьев Флор,176.0,80.0,57,м,автослесарь
3334,Гурьев Богдан,168.0,101.0,34,м,сантехник
3335,Русаков Ростислав,174.0,53.0,67,м,инженер
3336,Симонов Алексей,187.0,84.0,85,м,преподаватель
3337,Бобров Радослав,187.0,107.0,63,м,продавец
3338,Некрасов Эдуард,188.0,97.0,45,м,автослесарь
3339,Корнилов Данил,170.0,50.0,53,м,инженер
3340,Кудряшов Наум,184.0,117.0,75,м,программист
3341,Фадеев Прохор,182.0,77.0,70,м,врач
3342,Власов Клим,173.0,103.0,88,м,автослесарь
3343,Большаков Захар,191.0,61.0,71,м,бухгалтер
3344,Шашков Бронислав,178.0,60.0,25,м,преподаватель
3345,Одинцов Мартын,173.0,70.0,72,м,программист
3346,Поляков Лукьян,194.0,61.0,86,м,инженер
3347,Сергеев Анисий,182.0,53.0,69,м,программист
3348,Авдеев Игнат,169.0,69.0,74,м,сантехник
3349,Капустин Денис,173.0,57.0,18,м,врач
3350,Субботин Анатолий,187.0,52.0,89,м,программист
3351,Овчинников Марк,173.0,76.0,51,м,продавец
3352,Анисимов Дамир,180.0,76.0,54,м,врач
3353,Дорофеев Юлиан,169.0,115.0,54,м,программист
3354,Зуев Лукьян,174.0,111.0,23,м,врач
3355,Орехов Иероним,172.0,52.0,28,м,продавец
3356,Суханов Лукьян,168.0,68.0,24,м,инженер
3357,Овчинников Герасим,166.0,100.0,83,м,сантехник
3358,Вишняков Мартин,177.0,99.0,61,м,продавец
3359,Кулагин Никола,187.0,61.0,79,м,бухгалтер
3360,Наумов Август,166.0,89.0,51,м,автослесарь
3361,Савельев Фаддей,181.0,71.0,28,м,студент
3362,Капустин Ярослав,181.0,100.0,59,м,преподаватель
3363,Третьяков Анастасий,182.0,93.0,35,м,бухгалтер
3364,Субботин Федот,194.0,52.0,63,м,программист
3365,Денисов Анатолий,165.0,118.0,37,м,преподаватель
3366,Терентьев Игнат,172.0,52.0,40,м,продавец
3367,Корнилов Авраам,171.0,90.0,36,м,программист
3368,Шубин Пётр,191.0,74.0,21,м,бухгалтер
3369,Богданов Арсен,172.0,,48,м,бухгалтер
3370,Баранов Спартак,187.0,81.0,79,м,сантехник
3371,Борисов Пётр,167.0,107.0,76,м,бухгалтер
3372,Романов Евстахий,,88.0,24,м,врач
3373,Воронцов Прохор,,73.0,20,м,сантехник
3374,Русаков Вячеслав,183.0,70.0,66,м,программист
3375,Трофимов Аким,168.0,110.0,82,м,программист
3376,Сазонов Анисий,172.0,94.0,58,м,продавец
3377,Дементьев Денис,192.0,64.0,73,м,продавец
3378,Суворов Никодим,171.0,96.0,78,м,программист
3379,Захаров Семён,190.0,55.0,70,м,инженер
3380,Корнилов Игнат,189.0,53.0,65,м,автослесарь
3381,Хохлов Давид,183.0,56.0,52,м,врач
3382,Александров Герасим,186.0,68.0,25,м,продавец
3383,Богданов Степан,185.0,64.0,40,м,автослесарь
3384,Сысоев Альберт,169.0,102.0,49,м,автослесарь
3385,Дорофеев Эдуард,188.0,86.0,59,м,студент
3386,Волков Спартак,177.0,101.0,57,м,врач
3387,Лазарев Илларион,183.0,75.0,68,м,преподаватель
3388,Богданов Агафон,,61.0,86,м,инженер
3389,Крюков Ефрем,188.0,63.0,47,м,студент
3390,Самойлов Егор,167.0,,33,м,программист
3391,Федосеев Мартин,172.0,94.0,47,м,врач
3392,Романов Тимофей,173.0,56.0,71,м,инженер
3393,Константинов Игнатий,179.0,70.0,57,м,автослесарь
3394,Суханов Всеволод,178.0,78.0,63,м,студент
3395,Горбачёв Иосиф,176.0,104.0,48,м,инженер
3396,Щукин Агафон,185.0,51.0,43,м,студент
3397,Фролов Радомир,,76.0,81,м,студент
3398,Анисимов Самсон,179.0,102.0,56,м,программист
3399,Данилов Кондрат,183.0,74.0,31,м,преподаватель
3400,Кулаков Иероним,,115.0,88,м,студент
3401,Шилов Макарий,181.0,87.0,79,м,инженер
3402,Беляев Арсен,190.0,,59,м,программист
3403,Потапов Валентин,175.0,59.0,36,м,студент
3404,Сысоев Глеб,184.0,98.0,54,м,сантехник
3405,Щукин Аполлинарий,169.0,104.0,66,м,бухгалтер
3406,Зиновьев Влад,169.0,103.0,38,м,студент
3407,Комаров Владимир,185.0,52.0,58,м,продавец
3408,Семёнов Филимон,165.0,82.0,36,м,бухгалтер
3409,Данилов Владимир,190.0,118.0,32,м,студент
3410,Терентьев Кирилл,191.0,,63,м,инженер
3411,Орлов Радик,174.0,102.0,47,м,инженер
3412,Киселёв Яков,165.0,116.0,41,м,инженер
3413,Кудряшов Евдоким,168.0,92.0,32,м,программист
3414,Савин Касьян,192.0,84.0,84,м,автослесарь
3415,Кабанов Данил,187.0,82.0,83,м,преподаватель
3416,Капустин Игорь,175.0,106.0,32,м,сантехник
3417,Мишин Макар,190.0,67.0,67,м,бухгалтер
3418,Беспалов Тарас,178.0,101.0,54,м,продавец
3419,Владимиров Радослав,191.0,103.0,60,м,продавец
3420,Голубев Сергей,188.0,77.0,55,м,продавец
3421,Емельянов Илья,188.0,,68,м,сантехник
3422,Кириллов Климент,191.0,81.0,54,м,автослесарь
3423,Ермаков Климент,186.0,95.0,79,м,преподаватель
3424,Федотов Климент,168.0,63.0,29,м,сантехник
3425,Щукин Павел,176.0,98.0,40,м,сантехник
3426,Цветков Игорь,171.0,113.0,68,м,инженер
3427,Лапин Станислав,187.0,82.0,75,м,бухгалтер
3428,Бобров Август,178.0,84.0,28,м,студент
3429,Власов Артур,188.0,91.0,72,м,студент
3430,Аксёнов Марат,191.0,112.0,77,м,продавец
3431,Степанов Арсен,182.0,59.0,70,м,врач
3432,Никифоров Феликс,177.0,80.0,60,м,автослесарь
3433,Шестаков Арсен,185.0,75.0,59,м,студент
3434,Павлов Антон,181.0,65.0,71,м,преподаватель
3435,Беляков Мартын,185.0,71.0,69,м,бухгалтер
3436,Белоусов Зиновий,189.0,73.0,18,м,продавец
3437,Меркушев Анастасий,193.0,96.0,71,м,бухгалтер
3438,Журавлёв Никита,191.0,99.0,77,м,программист
3439,Егоров Валентин,187.0,61.0,23,м,автослесарь
3440,Третьяков Тимофей,175.0,92.0,37,м,преподаватель
3441,Блинов Ростислав,187.0,58.0,61,м,программист
3442,Степанов Филипп,174.0,89.0,48,м,программист
3443,Фёдоров Альберт,183.0,116.0,20,м,студент
3444,Титов Тимур,190.0,107.0,89,м,программист
3445,Кошелев Елисей,177.0,72.0,21,м,врач
3446,Носков Михаил,189.0,95.0,86,м,бухгалтер
3447,Капустин Игнатий,187.0,114.0,60,м,врач
3448,Шестаков Даниил,167.0,103.0,68,м,преподаватель
3449,Уваров Иеремия,,109.0,21,м,сантехник
3450,Ширяев Радик,177.0,118.0,22,м,программист
3451,Блинов Тарас,188.0,54.0,24,м,бухгалтер
3452,Ширяев Борис,183.0,,71,м,продавец
3453,Прохоров Даниил,,56.0,64,м,программист
3454,Кузьмин Олег,178.0,96.0,40,м,продавец
3455,Евдокимов Олег,169.0,71.0,37,м,продавец
3456,Ильин Зиновий,186.0,112.0,68,м,врач
3457,Федосеев Радомир,184.0,82.0,77,м,инженер
3458,Дмитриев Дамир,174.0,101.0,35,м,инженер
3459,Суворов Никита,172.0,89.0,36,м,студент
3460,Смирнов Харитон,193.0,62.0,68,м,программист
3461,Буров Игорь,165.0,64.0,68,м,преподаватель
3462,Зимин Влад,178.0,60.0,80,м,продавец
3463,Горбачёв Сергей,169.0,93.0,23,м,бухгалтер
3464,Владимиров Анатолий,178.0,52.0,18,м,студент
3465,Родионов Марк,184.0,94.0,55,м,студент
3466,Денисов Агафон,173.0,99.0,83,м,врач
3467,Шарапов Спартак,167.0,91.0,69,м,продавец
3468,Тимофеев Василий,166.0,95.0,77,м,преподаватель
3469,Некрасов Семён,169.0,73.0,77,м,преподаватель
3470,Кулагин Артур,172.0,87.0,43,м,бухгалтер
3471,Смирнов Агафон,167.0,112.0,37,м,программист
3472,Зиновьев Аким,166.0,74.0,66,м,программист
3473,Данилов Севастьян,176.0,112.0,65,м,программист
3474,Наумов Болеслав,171.0,93.0,62,м,студент
3475,Чернов Аркадий,173.0,108.0,87,м,программист
3476,Третьяков Леонид,191.0,53.0,28,м,сантехник
3477,Петухов Авраам,177.0,50.0,88,м,автослесарь
3478,Хохлов Виктор,179.0,61.0,79,м,продавец
3479,Ермаков Никанор,,93.0,19,м,сантехник
3480,Рожков Эдуард,174.0,89.0,42,м,студент
3481,Мамонтов Ярослав,,105.0,77,м,врач
3482,Данилов Павел,175.0,113.0,30,м,врач
3483,Филатов Макарий,181.0,93.0,19,м,продавец
3484,Куликов Викентий,176.0,102.0,50,м,автослесарь
3485,Беляков Егорий,177.0,,70,м,преподаватель
3486,Петров Ефим,175.0,98.0,87,м,бухгалтер
3487,Селиверстов Влад,187.0,112.0,24,м,бухгалтер
3488,Константинов Терентий,174.0,61.0,54,м,преподаватель
3489,Костин Мартын,169.0,55.0,37,м,бухгалтер
3490,Никонов Виталий,165.0,85.0,85,м,инженер
3491,Зыков Вилен,193.0,80.0,57,м,бухгалтер
3492,Красильников Демьян,190.0,105.0,67,м,бухгалтер
3493,Тетерин Алексей,184.0,,24,м,сантехник
3494,Лебедев Юрий,167.0,51.0,22,м,автослесарь
3495,Щербаков Севастьян,167.0,97.0,69,м,студент
3496,Козлов Радослав,175.0,108.0,53,м,автослесарь
3497,Алексеев Осип,171.0,60.0,77,м,продавец
3498,Веселов Михаил,173.0,114.0,71,м,врач
3499,Горбунов Никифор,180.0,119.0,37,м,преподаватель
3500,Кабанов Булат,190.0,52.0,85,м,инженер
3501,Игнатьев Гордей,187.0,82.0,18,м,инженер
3502,Васильев Михаил,171.0,78.0,68,м,сантехник
3503,Гусев Терентий,174.0,63.0,85,м,продавец
3504,Федотов Никола,188.0,70.0,53,м,преподаватель
3505,Моисеев Иосиф,189.0,113.0,39,м,продавец
3506,Мишин Евгений,194.0,51.0,29,м,сантехник
3507,Шилов Константин,187.0,117.0,52,м,сантехник
3508,Сидоров Кондрат,180.0,50.0,69,м,продавец
3509,Савин Артём,170.0,50.0,26,м,инженер
3510,Сысоев Андрей,167.0,117.0,83,м,студент
3511,Соловьёв Сидор,193.0,,43,м,преподаватель
3512,Никитин Никон,174.0,51.0,58,м,автослесарь
3513,Пономарёв Егорий,170.0,52.0,79,м,преподаватель
3514,Зыков Леонтий,167.0,92.0,82,м,программист
3515,Шестаков Рустам,191.0,50.0,87,м,преподаватель
3516,Суворов Герман,192.0,88.0,39,м,продавец
3517,Калашников Аким,183.0,100.0,57,м,бухгалтер
3518,Гордеев Август,184.0,94.0,87,м,студент
3519,Дроздов Данила,182.0,116.0,68,м,программист
3520,Дьячков Мартин,169.0,98.0,68,м,преподаватель
3521,Пестов Макарий,175.0,81.0,23,м,автослесарь
3522,Орлов Влад,165.0,96.0,28,м,врач
3523,Рожков Радослав,167.0,101.0,46,м,сантехник
3524,Ширяев Добрыня,176.0,55.0,22,м,студент
3525,Сафонов Игнат,175.0,104.0,78,м,преподаватель
3526,Воробьёв Матвей,175.0,115.0,25,м,инженер
3527,Лазарев Влад,167.0,102.0,29,м,программист
3528,Беляев Руслан,176.0,62.0,65,м,программист
3529,Хохлов Касьян,182.0,67.0,72,м,преподаватель
3530,Дьячков Евстахий,,113.0,60,м,преподаватель
3531,Никитин Егорий,190.0,96.0,76,м,преподаватель
3532,Моисеев Владислав,167.0,77.0,35,м,программист
3533,Калашников Артемий,193.0,69.0,67,м,бухгалтер
3534,Иванков Диомид,179.0,79.0,67,м,программист
3535,Герасимов Еремей,169.0,103.0,28,м,автослесарь
3536,Максимов Кузьма,171.0,98.0,51,м,продавец
3537,Ильин Роман,186.0,66.0,39,м,программист
3538,Нестеров Марк,193.0,115.0,38,м,сантехник
3539,Воронов Давид,191.0,62.0,46,м,программист
3540,Сорокин Димитрий,183.0,87.0,71,м,автослесарь
3541,Трофимов Платон,173.0,81.0,87,м,бухгалтер
3542,Овчинников Василий,178.0,67.0,51,м,программист
3543,Быков Радик,165.0,,72,м,автослесарь
3544,Казаков Валентин,192.0,94.0,88,м,инженер
3545,Филатов Иван,188.0,59.0,27,м,бухгалтер
3546,Сидоров Августин,184.0,83.0,70,м,программист
3547,Капустин Мирослав,182.0,64.0,26,м,программист
3548,Воронов Ефим,178.0,62.0,74,м,программист
3549,Цветков Аполлинарий,173.0,,76,м,сантехник
3550,Рогов Влас,168.0,53.0,78,м,преподаватель
3551,Павлов Савелий,188.0,,28,м,преподаватель
3552,Исаков Иероним,184.0,72.0,78,м,сантехник
3553,Рыбаков Михаил,175.0,102.0,57,м,продавец
3554,Петров Степан,179.0,84.0,38,м,врач
3555,Филатов Феликс,189.0,59.0,48,м,студент
3556,Яковлев Арсений,173.0,76.0,60,м,бухгалтер
3557,Ершов Артемий,165.0,61.0,31,м,преподаватель
3558,Маслов Богдан,167.0,108.0,59,м,врач
3559,Туров Митрофан,189.0,74.0,86,м,врач
3560,Жуков Пётр,166.0,50.0,24,м,инженер
3561,Ильин Филипп,185.0,117.0,59,м,врач
3562,Красильников Валентин,182.0,67.0,82,м,преподаватель
